語言	條目	字元數	發現路徑
en	Imp	7567	Category:European witchcraft
fr	Le Sabbat des sorcières (Goya, 1823)	7561	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Sorcellerie dans la peinture
de	Catherine Repond	7560	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
en	Fighting Fantasy: The Warlock of Firetop Mountain	7559	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
fr	Matthew Hopkins	7555	Catégorie:Sorcellerie
en	Bloody Mary (folklore)	7549	Category:Witchcraft > Witchcraft in folklore and mythology > Witches in folklore
ja	一切如来心秘密全身舎利宝筺印陀羅尼経	7549	Category:呪術 > 陀羅尼
fr	Docteur Druid	7545	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
de	Akazukin Chacha	7544	Kategorie:Hexerei > Hexerei in der Kultur
ja	メアリー・イースティ	7543	Category:魔女 > 魔女術の容疑で処刑された人物
fr	Harper Finkle	7541	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Ouvertüre zum "Fliegenden Holländer", wie sie eine schlechte Kurkapelle morgens um 7 am Brunnen vom Blatt spielt	7538	Category:Witchcraft > Curses > Flying Dutchman
sv	Marit Byskrifvers	7532	Kategori:Häxprocesser > Personer som blivit avrättade för häxeri > Personer som blivit avrättade för häxeri i Sverige
de	Christine Teipel	7530	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
fr	Jonathan Levinson	7526	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
fr	Sorcières Academy	7523	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
de	Steffen von Niederbergheim	7521	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
en	Tempestarii	7519	Category:European witchcraft
de	Zauberbubenprozesse in Salzburg	7518	Kategorie:Hexenverfolgung > Hexenverfolgung nach räumlicher Zuordnung
en	Anne Gunter	7518	Category:Witch trials > People accused of witchcraft > People acquitted of witchcraft
ja	名古屋晴明神社	7516	Category:陰陽道 > 晴明神社
de	Hexen (1922)	7511	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
en	Dead as Disco	7508	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
ja	賀茂保憲	7505	Category:陰陽道 > 陰陽師
fr	30 Coins	7504	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
de	Die Hinzenmännchen	7503	Kategorie:Sagengestalt > Deutsche Sagengestalt
de	Cottingley Fairies	7494	Kategorie:Sagengestalt > Fabelwesen
ru	Эрихто	7491	Категория:Ведьмы
fr	La Sorcellerie à travers les âges	7489	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Enguerrand de Marigny	7488	Category:People executed for witchcraft > French people executed for witchcraft
de	Aegidius Albertinus	7485	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung > Hexentheoretiker
en	Phi Phong: The Blood Demon	7485	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Estado profundo en los Estados Unidos	7485	Categoría:Brujería > Satanismo > QAnon
ja	メリーさんの電話	7484	Category:日本の妖怪 > 日本の都市伝説の妖怪
fr	Claude de Vin des Œillets	7480	Catégorie:Sorcellerie > Sorcellerie féminine > Affaire des poisons
en	Snow White (1987 film)	7477	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Sword at Sunset	7477	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
es	Veronika de Desenice	7477	Categoría:Brujería > Procesos por brujería
fr	Jerry Russo	7476	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
sv	Häxprocessen på Kastelholm	7470	Kategori:Häxprocesser > Häxprocesser i Europa > Häxprocesser i Finland
fr	Féticheur	7468	Catégorie:Sorcellerie > Sorcellerie par lieu > Sorcellerie en Afrique
en	Skin-walker	7467	Category:Witchcraft > American witchcraft
es	Textos de execración	7467	Categoría:Brujería > Maldiciones
en	The Love Potion	7462	Category:Witchcraft > Witches > Witches in art
es	Trina Kuenis	7462	Categoría:Brujería > Brujas (brujería)
es	La poción de amor	7457	Categoría:Brujería > Brujas en el arte
fr	Bibi Blocksberg, l'apprentie sorcière	7455	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Directorium Inquisitorum	7452	Category:Witchcraft > Witchcraft treatises
de	Each Uisge	7447	Kategorie:Sagengestalt > Keltische Sagengestalt > Schottische Sagengestalt
en	The Warlord Chronicles	7446	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
en	The Imp Prince	7443	Category:European witchcraft > Imps
en	Curse of the Sea Rats	7440	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
ja	弓削是雄	7439	Category:陰陽道 > 陰陽師
es	Asesinato de Elyse Pahler	7438	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
de	Gorgonen	7437	Kategorie:Sagengestalt > Fabelwesen > Mischwesen
en	Margo Burns	7437	Category:Witch trials > Witch trials in North America > Salem witch trials
ja	わいら	7436	Category:日本の妖怪 > 妖怪絵巻の妖怪
ja	ヨモツシコメ	7434	Category:日本の妖怪 > 鬼
fr	Meneur de loups	7429	Catégorie:Sorcellerie
de	Dr. Strange (1978)	7427	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Amityville Death House	7426	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Maria Holl	7426	Catégorie:Sorcellerie > Procès de sorcellerie > Procès de sorcellerie en Allemagne
ja	奥サマは魔女	7424	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした映画作品
fr	Société nyongo	7423	Catégorie:Sorcellerie > Sorcellerie par lieu > Sorcellerie en Afrique
en	Witch trials in Iceland	7420	Category:Witch trials > Witch trials in Europe > Witch trials in Iceland
de	Kulhwch	7417	Kategorie:Sagengestalt > Keltische Sagengestalt > Walisische Sagengestalt
en	Gullveig	7417	Category:Witchcraft > Witchcraft in folklore and mythology
en	Haunted (1977 film)	7417	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Phouoibi Shayon	7417	Category:Witchcraft > Witchcraft in folklore and mythology > Epic cycles of incarnations
en	Ama Hemmah	7401	Category:People executed for witchcraft
de	Lugh	7389	Kategorie:Sagengestalt > Mythischer Herrscher > Legendenhafter Hochkönig Irlands
de	Kikimora	7384	Kategorie:Sagengestalt > Slawische Sagengestalt > Slawische Gottheit
ja	善鸞	7384	Category:呪術
de	Brollachan	7383	Kategorie:Sagengestalt > Fabelwesen
en	William Harding (Virginia witch trials)	7383	Category:Witch trials > Witch trials in North America
de	Dido (Mythologie)	7380	Kategorie:Sagengestalt > Mythischer Herrscher > Königin der griechischen Mythologie
en	Hocus-pocus	7378	Category:Witchcraft > Incantation > Magic words
es	Formicarius	7378	Categoría:Brujería
de	Hayk	7377	Kategorie:Sagengestalt
es	Juana de los Ángeles	7377	Categoría:Brujería > Brujería por país > Brujería en Francia
en	Lady of Avalon	7374	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
es	Doom 3: BFG Edition	7370	Categoría:Brujería > Satanismo > Videojuegos de satanismo
fr	Nekra	7367	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
de	Schad (Familie)	7365	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
ja	大将軍	7365	Category:陰陽道 > 陰陽道の神
de	Amabie	7362	Kategorie:Sagengestalt > Fabelwesen > Weibliches Fabelwesen
fr	Taboo (série télévisée)	7362	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
de	Draculas Hexenjagd	7359	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
en	Elizabeth Morse (Newbury witch trials)	7358	Category:Witch trials > Witch trials in North America
de	Coven	7356	Kategorie:Hexerei
en	Genuine (1920 film)	7353	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
it	Masca	7351	Categoria:Stregoneria
ko	문전신	7350	분류:무속 > 도무습합
en	The Legend of the Christmas Witch	7348	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Faunus	7344	Kategorie:Sagengestalt > Fabelwesen > Mischwesen
en	Chained Oak	7342	Category:Witchcraft > Curses
de	Pegasos (Mythologie)	7341	Kategorie:Sagengestalt > Fabelwesen > Fabelwesen (Heraldik)
en	Fatima (d. 1246)	7341	Category:People executed for witchcraft
es	Maldición Kennedy	7341	Categoría:Brujería > Maldiciones
de	Katharina Güschen	7337	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
de	Epona (Mythologie)	7336	Kategorie:Sagengestalt > Keltische Sagengestalt > Keltische Gottheit
ja	一目入道	7335	Category:日本の妖怪 > 河童
de	Hexenlager	7333	Kategorie:Hexerei > Moderne Hexenverfolgung
de	Hræsvelgr	7333	Kategorie:Sagengestalt > Germanische Sagengestalt
en	Ghost & Witch	7330	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	The Triangular Book of St. Germain	7328	Category:Witchcraft > Grimoires
de	Izetta, Die Letzte Hexe	7327	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	María de Yriarte	7327	Category:People executed for witchcraft > Spanish people executed for witchcraft
fr	Grand Schtroumpf	7327	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
es	Lilia Calderu	7322	Categoría:Brujería > Brujos ficticios > Brujas de Marvel Comics
de	Taranis	7320	Kategorie:Sagengestalt > Keltische Sagengestalt > Keltische Gottheit
de	San Phra Phum	7318	Kategorie:Sagengestalt > Fabelwesen
de	Charybdis	7318	Kategorie:Sagengestalt > Fabelwesen > Seeungeheuer
en	The Circle (2015 film)	7314	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Anna Göldin – Letzte Hexe	7312	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
de	Anna Maßmeyer	7311	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
fr	Sabrina, l'apprentie sorcière (série télévisée d'animation, 2013)	7308	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
fr	Cursed : La Rebelle	7303	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	The Conjuring (song)	7301	Category:Witchcraft > Curses > Fiction about curses
de	Pom Pom	7297	Kategorie:Sagengestalt > Fabelwesen
sv	Häxprocessen i Vardø (1621)	7296	Kategori:Häxprocesser > Häxprocesser i Europa > Häxprocesser i Norge
de	Thomas Erastus	7295	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung > Hexentheoretiker
de	Bibi & Tina – Einfach anders	7293	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Fuchsia the Mini-Witch	7292	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Margarethe Rockemann	7285	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
en	Dorothea Flock	7284	Category:People executed for witchcraft > German people executed for witchcraft
en	The Flower Book (Edward Burne-Jones)	7283	Category:Witchcraft > Witches > Witches in art
es	Anna Göldin	7275	Categoría:Brujería
de	Grisu, der kleine Drache	7274	Kategorie:Sagengestalt > Fabelwesen > Drache
zh	比干	7272	Category:中國民間信仰 > 中国人物神
en	Richilde (fairy tale)	7271	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
de	Maria Madlener	7266	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
ja	林淳	7265	Category:呪術 > 陰陽道
ja	藤原忠文	7261	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
de	Holzfräulein	7260	Kategorie:Sagengestalt > Deutsche Sagengestalt
en	Puddocky	7257	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
es	Símbolos mágicos de Islandia	7257	Categoría:Brujería
ja	BULLET WITCH	7257	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
de	Philipp Adolf von Ehrenberg	7256	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
de	Hexen von heute	7253	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
en	Elisabeth Plainacher	7253	Category:People executed for witchcraft > Austrian people executed for witchcraft
es	Brujo	7252	Categoría:Brujería > Brujas (brujería)
it	Giovanna Bonanno	7252	Categoria:Stregoneria > Processi per stregoneria > Processi per stregoneria in Italia
fr	Margaret Jones	7251	Catégorie:Sorcellerie > Sorcellerie par lieu > Sorcellerie en Amérique
ja	富士谷紹憲	7248	Category:陰陽道 > 陰陽師
fr	Vous êtes sérieuxe ?	7247	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Diable dans la fiction
fr	La Princesse des glaces : le Monde des miroirs magiques	7247	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
fr	Étienne Guibourg	7246	Catégorie:Sorcellerie > Sorcellerie féminine > Affaire des poisons
ja	怒りの日 (映画)	7246	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした映画作品
en	Simon, King of the Witches	7243	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Jane Weir	7241	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
ja	選日	7241	Category:呪術 > 陰陽道
zh	扶苏	7240	Category:中國民間信仰 > 中国人物神
en	Thomas Schreiber (innkeeper)	7239	Category:People executed for witchcraft > German people executed for witchcraft
es	Complot Antil	7237	Categoría:Brujería > Brujería por país > Brujería en Chile
en	The Princess Mouse: A Tale of Finland	7232	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
es	Tlahuelpuchi	7232	Categoría:Brujería
de	Dragon Storm – Die Drachenjäger	7230	Kategorie:Sagengestalt > Drachentöter
de	Hoop snake	7229	Kategorie:Sagengestalt > Fabelwesen > Fabeltier
de	Agnes Gotter	7226	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
fr	Penelope (film, 2006)	7224	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
ja	賀茂朝臣氏	7224	Category:陰陽道 > 陰陽寮
de	Helena Curtens	7222	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
es	Anne Palles	7221	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
en	Madam Koi Koi	7214	Category:Witchcraft > Witchcraft in folklore and mythology > Witches in folklore
de	Caladrius	7211	Kategorie:Sagengestalt > Fabelwesen > Fabeltier
fr	Les Sorcières de Zugarramurdi	7211	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
de	Witches	7207	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
fr	Sorcières de North Berwick	7207	Catégorie:Sorcellerie > Sorcellerie féminine > Sorcière
en	Witch ball	7204	Category:Witchcraft > American witchcraft
de	Neeltje Andries	7195	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
fr	Élus Coëns	7193	Catégorie:Sorcellerie > Organisation qui s'intéresse à la magie
de	Smei Gorynytsch	7192	Kategorie:Sagengestalt > Slawische Sagengestalt
en	Doruchów witch trial	7190	Category:Witch trials > Witch trials in Europe > Witch trials in Poland
ja	豆狸	7189	Category:シャーマニズム > 憑き物
zh	太谷學派	7189	Category:中國民間信仰 > 三教
en	Nicholas Rémy	7188	Category:European witchcraft > Witchcraft in France
en	Bad Voodoo	7183	Category:Witchcraft > American witchcraft
en	House of the Black Death	7183	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Pwyll	7180	Kategorie:Sagengestalt > Keltische Sagengestalt > Walisische Sagengestalt
de	Hermann Cothmann	7178	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
en	Witchville	7177	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Conall Cernach	7176	Kategorie:Sagengestalt > Keltische Sagengestalt > Irische Sagengestalt
en	Minoria	7174	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
sv	Marrite Thamisdatter	7170	Kategori:Häxprocesser > Personer som blivit avrättade för häxeri
es	Juicios de brujas en los Países Bajos españoles	7169	Categoría:Brujería > Procesos por brujería > Juicios por brujería en España
en	Exerizer	7168	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Book of the Dead (Art Institute of Chicago)	7166	Category:Witchcraft > Incantation > Book of the Dead
en	Katarzyna Paprocka	7164	Category:Witch trials > People accused of witchcraft
es	Elisabeth Plainacher	7163	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
ja	岡崎神社	7163	Category:呪術 > 陰陽道
en	Witch's ladder	7162	Category:European witchcraft
fr	Kot Baïoun	7162	Catégorie:Sorcellerie > Magicien ou sorcier de légende
de	Goatman	7161	Kategorie:Sagengestalt > Fabelwesen > Mischwesen
sv	Elin i Horsnäs	7156	Kategori:Häxprocesser > Häxprocesser i Europa > Häxprocesser i Sverige
en	The Sworn Book of Honorius	7155	Category:Witchcraft > Grimoires > Goetic grimoires
en	Allison Gross	7154	Category:Witchcraft > Fiction about witchcraft > Songs about witches
es	Volpina	7153	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
ja	伊予親王	7152	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
de	Hester Jonas	7151	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
en	Exvania	7132	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
fr	Doctor Fate	7129	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Witch trials in the Spanish Netherlands	7128	Category:Witch trials > Witch trials in Europe > Witch trials in the Netherlands
fr	Ministère du Combat spirituel	7125	Catégorie:Sorcellerie > Sorcellerie contemporaine
de	Mišter Krabat	7114	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
en	Witch trials in France	7113	Category:European witchcraft > Witchcraft in France
es	Katarzyna Paprocka	7109	Categoría:Brujería > Brujas (brujería) > Personas acusadas de brujería
fr	Taoueille	7108	Catégorie:Sorcellerie > Magicien ou sorcier de légende
de	Grinkenschmied (Köln)	7105	Kategorie:Sagengestalt > Deutsche Sagengestalt
de	Ascanius	7105	Kategorie:Sagengestalt > Mythischer Herrscher > König der griechischen Mythologie
de	Hans von Sagan	7104	Kategorie:Sagengestalt
en	Witch trials in Norway	7104	Category:Witch trials > Witch trials in Europe > Witch trials in Norway
ja	シュガール	7104	Category:魔女
sv	Häxprocesser i Danmark	7102	Kategori:Häxprocesser > Häxprocesser i Europa > Häxprocesser i Danmark
de	Hermann Neuwalt	7100	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung > Hexentheoretiker
de	Krzysztof Opaliński	7096	Kategorie:Hexenverfolgung > Gegner der Hexenverfolgung
ja	烏天狗	7094	Category:日本の妖怪 > 天狗
de	Lugus (Gottheit)	7090	Kategorie:Sagengestalt > Keltische Sagengestalt > Keltische Gottheit
de	Gelert	7083	Kategorie:Sagengestalt
ja	天邪鬼	7079	Category:日本の妖怪 > 鬼
fr	Mayfair Witches	7073	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	Sæmundr fróði	7070	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
it	Cattie-brie	7069	Categoria:Stregoneria > Stregoni immaginari
en	Kediri curse	7066	Category:Witchcraft > Curses
es	Juicios por brujería en España	7066	Categoría:Brujería > Brujería por país > Brujería en España
ja	リーゼロッテと魔女の森	7064	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
en	Shtriga	7059	Category:Witchcraft > Witchcraft in folklore and mythology
en	Fort Grey	7056	Category:European witchcraft > Witches' Sabbath
fr	Jeanne Panne	7053	Catégorie:Sorcellerie > Procès de sorcellerie > Personnalité condamnée pour sorcellerie
fr	Polydamna	7048	Catégorie:Sorcellerie > Magicien ou sorcier de légende > Magicien de la mythologie grecque
de	Die Hexe von Ahnsbeck	7047	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur > Hexenverfolgung in der Literatur
ja	Thee Temple ov Psychick Youth	7047	Category:呪術 > ケイオスマジック
de	Elisabeth von Doberschütz	7046	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
en	Fady (taboo)	7046	Category:Witchcraft > Curses > Taboo
ja	マジック	7046	Category:呪術
es	Barzaz Breiz	7045	Categoría:Brujería > Brujería en la ficción > Obras literarias modernas de la materia de Bretaña
es	Seax-Wica	7045	Categoría:Brujería > Wicca > Tradiciones wiccanas
en	Possession of Clarita Villanueva	7044	Category:Witchcraft > Curses > Demonic possession
en	Koji Kashin	7041	Category:Witchcraft > Witchcraft in folklore and mythology
es	Agnes Sampson	7041	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
fr	Warlock: The Armageddon	7040	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
es	Thomas Schreiber (posadero)	7036	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
en	The One-Handed Girl	7035	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
ja	御霊神社 (五條市霊安寺町)	7035	Category:陰陽道 > 御霊信仰
de	Horror Infernal	7028	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Thank you	7023	Category:Witchcraft > Incantation > Magic words
en	Hansel and Gretel (2002 film)	7021	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Jewish male menstruation	7019	Category:Witchcraft > Curses
es	El hombre propone, Dios dispone	7019	Categoría:Brujería > Maldiciones
en	Steilneset Memorial	7018	Category:Witch trials > Witch trials in Europe > Witch trials in Norway
en	Ann Pudeator	7017	Category:People executed for witchcraft > American people executed for witchcraft > People executed in the Salem witch trials
de	Witchcraft – Das Böse lebt	7013	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
de	Die Seelen im Feuer	7012	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
de	Amletus	7012	Kategorie:Sagengestalt
de	Burkart Keller	7011	Kategorie:Sagengestalt > Deutsche Sagengestalt
es	La bruja del ámbar (novela)	7003	Categoría:Brujería > Brujas en el arte
en	Herman Slater	7001	Category:Witchcraft > Judaism and witchcraft > Wiccans of Jewish descent
en	Anne Palles	6997	Category:People executed for witchcraft > Danish people executed for witchcraft
de	Reiner Biewer	6995	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
en	Grand Monster Slam	6992	Category:European witchcraft > Imps
it	Orko	6992	Categoria:Stregoneria > Stregoni immaginari
ja	式神	6992	Category:呪術
de	Bärbel von Ottenheim	6991	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
zh	苏缄	6991	Category:中國民間信仰 > 中国人物神
ja	ジャン・ボダン	6988	Category:魔女 > 魔女狩り人
de	Hexenprozess von Fürsteneck	6986	Kategorie:Hexenverfolgung > Hexenverfolgung nach räumlicher Zuordnung > Hexenprozesse in Deutschland
en	Mahakaal (1994 film)	6983	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Ana Calthorpe	6976	Categoría:Brujería > Brujas (brujería) > Personas acusadas de brujería
ja	文室宮田麻呂	6972	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
de	Susanne und der Zauberring	6969	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
it	Notte di San Giovanni	6968	Categoria:Stregoneria
en	The Sword of Moses	6967	Category:Witchcraft > Grimoires > Jewish grimoires
es	Maria Bertoletti Toldini	6967	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
ja	浅茅ヶ原の鬼婆	6967	Category:日本の妖怪 > 鬼
es	John Proctor	6964	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
ja	頽馬	6964	Category:日本の妖怪
ko	서낭당	6962	분류:무속 > 무속 건축물
fr	Astrum Argentum	6959	Catégorie:Sorcellerie > Organisation qui s'intéresse à la magie
de	Eleanor Cobham	6958	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
ru	Ведьмы Анаги	6956	Категория:Ведьмы
en	Jhonathan and the Witchs	6953	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
de	Gradlon	6952	Kategorie:Sagengestalt > Mythischer Herrscher
de	Pērkons	6950	Kategorie:Sagengestalt > Baltische Sagengestalt > Baltische Gottheit
en	Dannie Druehyld	6947	Category:Witchcraft > Witches
en	Anna Zippel	6945	Category:People executed for witchcraft > Swedish people executed for witchcraft
en	The Little Emperors	6939	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
fr	I Am Not a Witch	6935	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Film sur la sorcellerie
de	Heinrich Rimphoff	6932	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
de	Nuckelavee	6931	Kategorie:Sagengestalt > Fabelwesen
fr	Mary Butters	6931	Catégorie:Sorcellerie > Procès de sorcellerie
fr	Yensid	6931	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Jacob Sprenger	6929	Category:Witchcraft > Witch hunting > Supporters of witch hunting
es	Elizabeth Clarke	6929	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
de	Bidadari	6921	Kategorie:Sagengestalt > Fabelwesen > Geistwesen
ja	戸矢学	6919	Category:呪術 > 陰陽道
fr	The Jane Doe Identity	6918	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
de	Wildes Haggis	6914	Kategorie:Sagengestalt > Fabelwesen > Fabeltier
en	Northamptonshire witch trials	6913	Category:Witch trials > Witch trials in Europe > Witch trials in England
de	Gwendolen	6912	Kategorie:Sagengestalt > Keltische Sagengestalt
en	Paul Boyer (historian)	6912	Category:Witchcraft > Historians of witchcraft
en	The Phantom Ship	6912	Category:Witchcraft > Curses > Flying Dutchman
en	Maud Galt	6910	Category:Witch trials > Witch trials in Europe > Witch trials in Scotland
es	Monte Ebal	6903	Categoría:Brujería > Maldiciones
de	Birutė (Großfürstin)	6900	Kategorie:Sagengestalt > Baltische Sagengestalt > Baltische Gottheit
en	The Laidly Worm of Spindleston Heugh	6900	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
de	Kinyras	6898	Kategorie:Sagengestalt > Mythischer Herrscher > König der griechischen Mythologie
de	Minotauros	6892	Kategorie:Sagengestalt > Fabelwesen > Mischwesen
it	Heinrich Kramer	6891	Categoria:Stregoneria
es	Return to Halloweentown	6888	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
it	Elphaba	6888	Categoria:Stregoneria > Streghe nelle opere di fantasia
zh	李伯瑤	6887	Category:中國民間信仰 > 中国人物神
it	Figlia di Warlock	6884	Categoria:Stregoneria > Streghe nelle opere di fantasia
es	Twitches Too	6881	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
ja	獏	6881	Category:日本の妖怪
en	The Bones of Avalon	6880	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
de	Max Gandolf von Kuenburg	6879	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
es	Anna Zippel	6877	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
en	King Stakh's Wild Hunt	6876	Category:Witchcraft > Curses > Fiction about curses
en	The Ram (fairy tale)	6875	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
ja	赤マント	6875	Category:日本の妖怪 > 日本の都市伝説の妖怪
ja	妖術	6872	Category:呪術
en	The Halloween That Almost Wasn't	6870	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Krabat (1977)	6863	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
ja	モンジャ	6862	Category:シャーマニズム > 憑き物
